-8.924812078475952148e-01,-7.646320462226867676e-01,-8.134675621986389160e-01,7.861155271530151367e-01,-9.104914069175720215e-01,-1.035193204879760742e+00,6.274309754371643066e-01,8.548052906990051270e-01,-9.639235734939575195e-01,7.099497318267822266e-01
-9.655543565750122070e-01,-8.251606822013854980e-01,-9.955438971519470215e-01,1.022669792175292969e+00,-1.079681038856506348e+00,-8.930882811546325684e-01,9.411790370941162109e-01,7.971908450126647949e-01,-8.147110939025878906e-01,1.054473280906677246e+00
-8.596861958503723145e-01,-8.098223209381103516e-01,-8.291451930999755859e-01,8.247167468070983887e-01,-8.341287970542907715e-01,-6.752750277519226074e-01,8.528742790222167969e-01,1.095250725746154785e+00,-9.000794887542724609e-01,9.146433472633361816e-01
-1.057211518287658691e+00,-7.621472477912902832e-01,-7.487350702285766602e-01,9.968366622924804688e-01,-9.657629728317260742e-01,-8.937796354293823242e-01,9.380556344985961914e-01,8.478186726570129395e-01,-1.036596655845642090e+00,7.959619760513305664e-01
-1.068710684776306152e+00,-1.017728090286254883e+00,-8.567367196083068848e-01,7.105202674865722656e-01,-1.139342188835144043e+00,-8.443889021873474121e-01,7.680742144584655762e-01,7.741331458091735840e-01,-9.080151915550231934e-01,8.798608183860778809e-01
-8.918613791465759277e-01,-9.106268882751464844e-01,-7.891845107078552246e-01,7.589312791824340820e-01,-9.828847050666809082e-01,-1.013939142227172852e+00,5.544009208679199219e-01,7.633947730064392090e-01,-1.200131654739379883e+00,7.151738405227661133e-01
-1.067054510116577148e+00,-1.069283962249755859e+00,-7.616104483604431152e-01,8.692440390586853027e-01,-1.144030213356018066e+00,-8.401492238044738770e-01,5.237220525741577148e-01,8.730193972587585449e-01,-9.106969237327575684e-01,9.149520993232727051e-01
-1.000888586044311523e+00,-4.148398339748382568e-01,-8.052720427513122559e-01,8.475719690322875977e-01,-8.611989617347717285e-01,-4.984915256500244141e-01,1.035678029060363770e+00,1.053202390670776367e+00,-8.640023469924926758e-01,9.986947774887084961e-01
-9.271728396415710449e-01,-7.862288355827331543e-01,-8.768779039382934570e-01,8.328357934951782227e-01,-8.254356980323791504e-01,-8.433670997619628906e-01,6.190568208694458008e-01,7.826423645019531250e-01,-9.336290359497070312e-01,8.208175897598266602e-01
-1.008568644523620605e+00,-1.095875382423400879e+00,-7.579106688499450684e-01,1.008878469467163086e+00,-9.955608844757080078e-01,-8.176602125167846680e-01,9.328238964080810547e-01,8.351901173591613770e-01,-1.009209394454956055e+00,8.360056281089782715e-01
